"","price","unit_size","land_size","age","todt","sales_year"
"123",562000,195.096298217773,234.580078125,1,0,2006
"124",529388,167.225402832031,302.86376953125,1,0,2006
"125",289000,107.674575805664,152.175109863281,21,0,2009
"126",292333,134.709350585938,218.322052001953,1,0,2003
"127",385320,183.576324462891,148.644805908203,2,0,2009
"128",315000,139.633209228516,83.5197982788086,21,0,2011
"129",4e+05,176.515701293945,894.470092773438,72,0,2003
"130",411000,205.129821777344,232.257507324219,32,0,2009
"131",506899,185.805999755859,213.676895141602,2,0,2006
"132",400530,161.093795776367,185.805999755859,1,0,2006
"133",395460,164.43830871582,182.833099365234,1,0,2005
"134",425880,144.928680419922,244.241989135742,0,0,2009
"135",450500,183.947937011719,204.386596679688,8,0,2006
"136",920000,382.667449951172,548.592224121094,1,0,2009
"137",1e+05,137.12483215332,211.075622558594,28,0,2003
"138",310000,100.335243225098,107.953285217285,16,0,2006
"139",465426,178.5595703125,312.990203857422,1,0,2012
"140",425880,148.737701416016,290.321868896484,1,0,2012
"141",405000,184.784072875977,222.967193603516,26,0,2006
"142",475000,141.212554931641,474.362731933594,81,0,2006
"143",457000,160.629287719727,345.599151611328,33,0,2003
"144",490000,148.644805908203,222.967193603516,31,0,2007
"145",300150,191.565979003906,169.826690673828,39,0,2009
"146",466440,158.306716918945,201.599502563477,2,0,2006
"147",5e+05,232.257507324219,260.592926025391,0,0,2006
"148",314239,204.386596679688,182.554397583008,2,0,2005
"149",345317,133.780319213867,111.483596801758,3,0,2007
"150",407500,175.586669921875,124.118408203125,7,0,2006
"151",560000,192.123397827148,371.611999511719,36,0,2006
"152",259000,124.118408203125,278.709014892578,84,0,2004
"153",332800,94.7610626220703,371.611999511719,50,0,2005
"154",360400,127.462913513184,130.993225097656,18,0,2006
"155",588000,206.244659423828,232.257507324219,3,0,2005
"156",435000,108.696510314941,371.611999511719,45,0,2005
"157",399800,127.091300964355,371.611999511719,56,0,2011
"158",454210,174.750549316406,232.257507324219,36,0,2006
"159",170000,65.032096862793,116.128753662109,74,0,2004
"160",435000,118.637130737305,371.611999511719,65,0,2005
